id,scientificName,commonName,classification,etymology,environment,depthRange,usualRange,distributionRangeName,distributionRangeCoordinates,distributionDescription,sizeRange,maxLength,commonLength,maxWeight,maxAge,biologyInfo,lifeAndMateInfo,redListStatus,dorsalSpines,dorsalSoftRays,analSpines,analSoftRays,vertebrae,shortDescription,threatToHumans,preferredTemperatureMin,preferredTemperatureMean,preferredTemperatureMax,cellsBasedOn,phylogeneticDiversity,bayesianLengthWeightA,bayesianLengthWeightB,resilience,priorR,vulnerability,priceCategory,source
321,Corallium rubrum,sardinia coral,Anthozoa > Alcyonacea > Coralliidae,,Sessile,10--200,10--?,Subtropical,,Atlantic and the Mediterranean.,,,,,,"Hard skeleton calcareous:  can exceed 50 cm, but in general less developed.  Polyp:  reach the diameter of 0.15 cm.  Depth:  commonly 10 m of depth; currently, it is necessary to go down beyond the 30 m, generally even 40 m, and until several hundred meters of depth . Habitat:  Found in the infra- and circalittoral zones as well as bathyal zones .  Sites little exposed to the solar rays: lower level of rock overhangs, anfractuosities and excavations, rock walls located at great depth ; conditioned by two essential criteria: the weak luminosity and the substrate.  One finds it in theory only on the bed rock under conditions of reduced illumination.  At the surface levels, it characterizes the biocenoses semi-obscure caves.  Low, one meets it on rock cliffs or sproutings.  Harvests, made more and more deeply, restrict its bathymetric distribution. . Found on cave walls, vertical cliffs and overhangs . Members of the class Anthozoa are either gonochoric or hermaphroditic.  Mature gametes are shed into the coelenteron and spawned through the mouth.  Life cycle:  The zygote develops into a planktonic planula larva.  Metamorphosis begins with early morphogenesis of tentacles, septa and pharynx before larval settlement on the aboral end .","Members of the class Anthozoa are either gonochoric or hermaphroditic.  Mature gametes are shed into the coelenteron and spawned through the mouth.  Life cycle:  The zygote develops into a planktonic planula larva.  Metamorphosis begins with early morphogenesis of tentacles, septa and pharynx before larval settlement on the aboral end.",Not Evaluated,,,,,,"Arborescent colonies, with growth irregularly divided into all directions, provided with a Hard skeleton calcareous:  can exceed 50 cm, but in general less developed  The surface of the ramifications is not smooth  Polyp:  reach the diameter of 015 cm; they are white and translucent, the cortical fabric being of red color, seldom white or yellow  The skeleton is highly colored of red; more rarely of pink; dark; white red or to black (Ref 358) Certain colonies:  20 cm height, but intensive fishing makes disappear the largest specimens Diameter of the base:  3 cm at the largest specimens (Ref 363).",,13.8,17.7,19.6,240,,,,,,,Unknown,ca
322,Corbula gibba,common basket-shell,Bivalvia > Myoida > Corbulidae,,"Benthic, brackish",0--25,,Subtropical,,Northeast Atlantic and the Mediterranean:  Europe.  Introduced in Australia (Ref. 74657).,?--?,1.1,,,,"Found in sandbanks,  in substrates with rich organic sediments  and muddy detritic areas .   It is an active suspension feeder (Refs. 96214, 96376, 96501, 96498), i.e., surface deposit-feeder .  Feeds on organic detritus .   A  free-living species  Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,,7.4,10.9,18.8,709,,,,,,Low vulnerability (10 of 100),Unknown,ca
323,Coris julis,Mediterranean rainbow wrasse,Actinopterygii (ray-finned fishes) >  Perciformes  (Perch-likes) >  Labridae  (Wrasses) > Corinae,"Coris: Greek, kore, -es = pupil and also with themenaing of ""maid"" .","Marine, reef-associated",0--120,1--60,Temperate,"59N--  1S, 32W--  36E","Eastern Atlantic:  Sweden to south of Cape Lopez, Gabon.  Also known from the Mediterranean Sea. Specimen of  from Cape Verde and Senegal southward are probably  , here still treated as a junior synonym pending a definite publication of validity.",?--?,30,20,,7,"Occurs in the littoral zone, near rocks and eelgrass beds.  Usually found between 1-60 m, but old males stay in deeper water.  Found in deeper waters during winter.  Sometimes solitary, among rocks, often with numerous specimens in its immediate vicinity.  Buries itself in sand at night or when frightened.  Feeds on small gastropods, sea urchins, shrimps, worms, isopods and amphipods.  Sexually mature when 1 year old.  Protogynous species; females change sex to become males; specimen above 18 cm length are all males.  Pelagic eggs.",Females change sex to males before 18 cm TL. Sex reversal is completed in several weeks up to 5.5 months .  Also Ref. 103751.,Least Concern (LC) ; Date assessed:  11 February 2009,8--10,11--12,3,11--12,," Snout with 4-6 cephalic pores  Spiny rays flexible  No scales on head and on base of dorsal and anal fins  Vertebrae 25-26  Males:  first 3 dorsal rays elongated, with an orange or red and black spot  Along the flanks, a- longitudinal zigzag orange or red stripe  Females and juveniles:  a longitudinal large whitish stripe along flanks, a mid-longitudinal zigzag, dark brown stripe.",Harmless,13.3,19,27.7,636,0.5,0.00891,3.05,"Medium, minimum population doubling time 1.4 - 4.4 years (K=0.11; tm=1).",,Moderate vulnerability (39 of 100) .,Very high,de
324,Cornularia cornucopiae,,Anthozoa > Alcyonacea > Cornulariidae,,,,,,,Atlantic and the Mediterranean.,?--?,,,,,"Known from the infralittoral zone . Members of the class Anthozoa are either gonochoric or hermaphroditic.  Mature gametes are shed into the coelenteron and spawned through the mouth.  Life cycle:  The zygote develops into a planktonic planula larva.  Metamorphosis begins with early morphogenesis of tentacles, septa and pharynx before larval settlement on the aboral end .","Members of the class Anthozoa are either gonochoric or hermaphroditic.  Mature gametes are shed into the coelenteron and spawned through the mouth.  Life cycle:  The zygote develops into a planktonic planula larva.  Metamorphosis begins with early morphogenesis of tentacles, septa and pharynx before larval settlement on the aboral end.",Not Evaluated,,,,,,,Harmless,13.7,15.1,16.7,34,,,,,,,,ca
325,Corydendrium parasiticum,,Hydrozoa > Anthoathecata > Hydractiniidae,,"Sessile, brackish",1--127,,Tropical,,Atlantic Ocean.  Tropical and subtropical.,?--?,,,,,"Found in patch reefs and sand trough areas on substrates composed of dead corals and gorgonians.  In Belize, it is found at depths of 5-17 m.  As with other hydroids, this species exhibits a pelagic medusiod stage . Members of the order Anthoathecata are mostly colonial A-form hydroids.  Life cycle:  The zygote develops into planula inside the gonophore and is later released as an actinula which metamorphoses into polyp stage .",Members of the order Anthoathecata are mostly colonial A-form hydroids.  Life cycle:  The zygote develops into planula inside the gonophore and is later released as an actinula which metamorphoses into polyp stage.,Not Evaluated,,,,,,,,18.9,26.7,28.1,657,,,,,,,Unknown,ca
326,Coryphaena equiselis Linnaeus  1758,Pompano dolphinfish,Actinopterygii (ray-finned fishes) >  Perciformes  (Perch-likes) >  Coryphaenidae  (Dolphinfishes),"Coryphaena: Greek, koryphaina = dolphin fish .More on author: Linnaeus.","Marine, pelagic-oceanic, oceanodromous ",0--400,,Subtropical,"48N--  48S, 180W--  180E","Worldwide in tropical and subtropical seas.  Frequently misidentified as juvenile or female of . Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea .",22--?,146,50,,4,Primarily an oceanic species but may enter coastal waters.  Usually forms schools.  Follows boats and may be found under floating objects.  Feeds on small fishes and squid.  Eggs and larvae are pelagic.  Marketed fresh and considered an excellent food fish.  An important game fish in northern South America.,,Least Concern (LC) ; Date assessed:  16 September 2010,0,52--59,0,24--28,33," Body elongated and compressed, its depth contained less than 40 times in standard length (adults); tongue with a wide tooth patch covering 50 to 60 percent of its surface; dorsal fin originating on nape, almost reaching caudal fin, with 48 to 55 rays; anterior distal edge of anal fin convex; pectoral fins located near middle of head; body shiny blue green, changing to gray with green tints after death; flanks with golden highlights and numerous diffuse black stains  Greatest body depth more than 25% of SL; tooth patch on tongue broad and square; single dorsal fin extending from just behind eye almost to caudal fin, with 52-59 rays; a convex anal fin extending from anus almost to caudal fin; pectoral fin about half of head length  Caudal vertebrae usually 20   Color in life brilliant metallic blue-green dorsally, fading to grey with green tinge upon death; sides silvery with golden sheen and spots; dorsal fin dark; juveniles with entire caudal fin margin white  Head profile of large adults (30-200 cm) becomes vertical with the development of bony crest, but more in males.",Harmless,14.2,22.3,27.9,1841,1,0.01445,2.86,"Medium, minimum population doubling time 1.4 - 4.4 years (tmax=4).",,Moderate vulnerability (39 of 100) .,Unknown,de
327,Coryphaena hippurus Linnaeus  1758,Common dolphinfish,Actinopterygii (ray-finned fishes) >  Perciformes  (Perch-likes) >  Coryphaenidae  (Dolphinfishes),"Coryphaena: Greek, koryphaina = dolphin fish .More on author: Linnaeus.","Marine, brackish, pelagic-neritic, oceanodromous ",0--85,5--10,Subtropical,"47N--  40S, 180W--  180E","Atlantic, Indian and Pacific:  in tropical and subtropical waters. Highly migratory species, Annex I of the 1982 Convention on the Law of the Sea .",35-- 93.1,210,100,40,4,Adults are found in open waters but also near the coast .  Form schools.  Feed on almost all  forms of fish and zooplankton; also takes crustaceans and squid.  Sexual maturity is reached in 4-5 months (3 for captive fish).  Spawn in the open sea and probably approximate to the coast when water temperature rises.  Eggs and larvae are pelagic.  Attracting devices such as floating bundles of bamboo reeds or cork planks are used to concentrate dolphin fish before the nets are set.  Marketed frozen and fresh and is of high value.,"In East African waters, spawning season may last from March to early June and spawning occurs inshore. In the western Pacific, sex ratios were about equal during spawning season. Spawning in the western Atlantic occurs over an extended period of time.Spawn naturally in captivity without artificial inducement.",Least Concern (LC) ; Date assessed:  17 September 2010,0,58--66,0,25--31,31," Greatest body depth in adults less than 25% of standard length; tooth patch on tongue small and oval; single dorsal fin extending from above eye almost to caudal fin with 58-66 rays; a concave anal fin extending from anus almost to caudal fin; pectoral fin more than half of head length  Caudal vertebrae usually 18  Mature males posses a prominent bony crest in front of the head  The color is striking with golden hues on the sides, metallic blues and greens on the back and sides, with white and yellow on the underparts  Small specimens have pronounced vertical bars on the sides of the body.",Reports of ciguatera poisoning (Ref.  30911 ),18.1,27.4,29.1,5894,1,0.01622,2.83,"High, minimum population doubling time less than 15 months (K=0.4-1.2; tm<1; tmax=5; Fec=85,000).",1.09,Moderate vulnerability (40 of 100) .,High,de
328,Coryphaenoides mediterraneus,Mediterranean grenadier,Actinopterygii (ray-finned fishes) >  Gadiformes  (Cods) >  Macrouridae  (Grenadiers or rattails) > Macrourinae,"Coryphaenoides: Greek, koryphaina = dolphin fish + Suffix oides = similar to .","Marine, bathypelagic",1000--4262,,Deep-water,"67N--  18N, 98W--  17E",Northeast Atlantic:  Azores to west Scotland.  Reported from Iceland .  Also in the western Mediterranean.  Western Central Atlantic:  Gulf of Mexico.,62--?,73,,,,Depth range is reported at 1000m-3000m.  Feeds on small benthic invertebrates.  Minimum depth from Ref. 58018.,,Least Concern (LC) ; Date assessed:  02 February 2015,0,,0,,, Head scaled except for gular and branchiostegal membranes.,Harmless,2.9,3.6,13,751,0.5,,,"Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).",,High vulnerability (61 of 100) .,,de
329,Coryphoblennius galerita,Montagu's blenny,Actinopterygii (ray-finned fishes) >  Perciformes  (Perch-likes) >  Blenniidae  (Combtooth blennies) > Salariinae,"Coryphoblennius: Greek, koryphe = summit + Greek, belnnios = mucus .",,,,,,"Eastern Atlantic:  along the coasts of  western England and the British Channel,  Spain, Portugal, France, Morocco, Madeira , Canary Islands; Mediterranean Sea,  Sea of Marmara, and the Black Sea.",?--?,7.6,,,,"Intertidal, found on the wave-battered rocky shores.  May remain out of water under rocks and seaweeds.  Omnivorous; feed mainly on copepods and ostracods as juveniles and shift to diet of algae as adults.  Breathe air when out of water.  Juveniles in small tide pools.  Oviparous.  Eggs are demersal and adhesive, and are attached to the substrate via a filamentous, adhesive pad or pedestal.  Larvae are planktonic, often found in shallow, coastal waters.  Territories protected by males include depressions, crevices or piddock holes.","Distinct pairing.  During mating, the male fans the nest as if cleaning and ventilating the area.  Males release sperm during periodic quivers to fertilize eggs in the nest much like other blennies.  Males guard the egg-masses of various females.",Least Concern (LC) ; Date assessed:  13 November 2007,,,,,,,Harmless,12.5,18.6,20.8,504,1,0.00676,2.99,"High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).",,Low vulnerability (18 of 100) .,,de
330,Coscinasterias tenuispina,,Asteroidea > Forcipulatida > Asteriidae,,Benthic,0--165,,Subtropical,,Atlantic and the Mediterranean Sea.,?--?,,,,,Maximum depth from Ref. 111335. Found on shell hash . Members of the class Asteroidea exhibit both asexual (regeneration and clonal) and sexual (gonochoric) means of reproduction.  Life cycle:  Embryos hatch into planktonic larvae and later metamorphose into pentamorous juveniles which develop into young sea stars with stubby arms .,Members of the class Asteroidea exhibit both asexual (regeneration and clonal) and sexual (gonochoric) means of reproduction.  Life cycle:  Embryos hatch into planktonic larvae and later metamorphose into pentamorous juveniles which develop into young sea stars with stubby arms.,Not Evaluated,,,,,,,,16.1,18.4,20.2,86,,,,,,,Unknown,ca
331,Cotylorhiza tuberculata,,Scyphozoa > Rhizostomeae > Cepheidae,,Pelagic,0--7,,Subtropical,,"Mediterranean Sea:  Italy, Greece and Monaco.",,,,,,"The sunshade of the cphides is frequently used as protective shelter with fish alevins of the kinds Trachurus ,Boops and Seriola.  Species is inoffensive for the man . Swims to the surface in plain water, in pelagic zone, near the coasts at night.  Feeds on fine plankton, which is absorbed by the oral arms . The polyps start to bud at the beginning of spring.  These larvae evolve/move in jellyfishes, which one meets only from July to November, frequently associated gigantic swarms, length of several kilometers.  When a storm prevails, the jellyfishes gagnet bottom.  But one also observes this type of migration of surface towards deep water independently of any climatic factor.  The males become ripe are recognizable with the presence, in some their palpi, spermatic channels filled up of gametes and colored in white, which will be released in the marine environment.  Fecundation takes place inside the body of the females.  Before their emission in the sea, the larvae remain a few times inside specialized oral arms, responsible for incubation.  Then they will evolve/move in sedentary polyp .","The polyps start to bud at the beginning of spring.  These larvae evolve/move in jellyfishes, which one meets only from July to November, frequently associated gigantic swarms, length of several kilometers.  When a storm prevails, the jellyfishes gagnet bottom.  But one also observes this type of migration of surface towards deep water independently of any climatic factor.  The males become ripe are recognizable with the presence, in some their palpi, spermatic channels filled up of gametes and colored in white, which will be released in the marine environment.  Fecundation takes place inside the body of the females.  Before their emission in the sea, the larvae remain a few times inside specialized oral arms, responsible for incubation.  Then they will evolve/move in sedentary polyp (Ref. 358).",Not Evaluated,,,,,,"Diameter can reach 40 cm  Plane sunshade, except in its center, where one observes a prominent formation out of bell  Short oral arms, only braided in their base, characterized by a lower part excessively friz; the labial palpi are of color violet or white, and finished by a widened bulb  The sunshade is white, the oral arms of a tinted white of yellow  The polyps measure from 5 to 10 mm height; and although unimportant, one can observe them all the year.",,17.7,18.6,19.3,190,,,,,,Low vulnerability (23 of 100),Unknown,ca
332,Cranchia scabra,rough cranch squid,Cephalopoda > Teuthida > Cranchiidae,,Bathypelagic,2--2000,,Tropical,,"Circumglobal, tropical to subtropical waters.",?--?,15,,,,"Minimum depth from Ref. 110525. Circumglobal in tropical and subtropical open oceanic waters; known from 43N to 35S, generally prescribed by the north and south subtropical convergences.  Paralarvae and juveniles are epipelagic to upper mesopelagic, upper 400 meters, while adults descend to mesopelagic and bathypelagic zones, perhaps up to 2,000 meters deep . Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults .","Members of the class Cephalopoda are gonochoric.  Male and female adults usually die shortly after spawning and brooding, respectively.  Mating behavior:  Males perform various displays to attract potential females for copulation.  During copulation, male grasp the female and inserts the hectocotylus into the female's mantle cavity where fertilization usually occurs.  Life cycle:  Embryos hatch into planktonic stage and live for some time before they grow larger and take up a benthic existence as adults.", Least Concern (LC),,,,,,,,5.2,8.9,14.3,1779,,,,,,,Medium,ca
333,Crangon crangon,common shrimp,Malacostraca > Decapoda > Crangonidae,,"Benthic, brackish",0--50,,"Subtropical, preferred 11C",,Northeast Atlantic and the Mediterranean.,?--?,8.9,,,,"Found in both marine and oligohaline waters .  Also inhabits brackish lagoons .  Found on fine sand or slightly muddy sand ; also over coarse sand .  Juveniles are epifaunal on seagrass and bare sand flats .  Mobile (Refs. 95752, 96470).  Free-living .  Able to occupy areas with high exposure and low salinity .  Carnivorous (Refs. 95752, 96470).  Feeds on small benthic organisms (small crustaceans, annelids and mollusks) and fishery discards . Members of the order Decapoda are mostly gonochoric.  Mating behavior:  Precopulatory courtship ritual is common (through olfactory and tactile cues); usually indirect sperm transfer .",Members of the order Decapoda are mostly gonochoric.  Mating behavior:  Precopulatory courtship ritual is common (through olfactory and tactile cues); usually indirect sperm transfer.,Not Evaluated,,,,,,,,8.6,10.5,14,410,,,,,,Low vulnerability (10 of 100),Very high,ca
334,Crassostrea angulata,Portuguese oyster,Bivalvia > Ostreoida > Ostreidae,,Benthic,0--7,,Temperate,,Northwest Pacific and Northeast Atlantic.,?--?,,,,,"In coastal areas.  Found in an estuary . Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,,12.4,17.6,21.4,383,,,,,,,Medium,ca
335,Crassostrea virginica,American cupped oyster,Bivalvia > Ostreoida > Ostreidae,,"Benthic, brackish",0--79,,"Subtropical, preferred 22C",,Atlantic Ocean and Eastern Pacific.,,,,,,"It has a total length of 30 cm.  Fisheries:  It suffers from overexploitation and contamination by organic pollutants; consumed raw, fried, grilled, boiled; canned industrially .  Aquaculture:  Increased production is based on the triploid method (using gametes from hatcheries), wherein tetraploid males are used to fertilize eggs from diploid females instead of chemical or physical stress to produce triploids (Refs. 101295, 101299).  Oysters can be grown to market size (7.6 cm) in a span of 6 months . Attached to rocks, other oyster shells, or other hard substrates .  Favors estuaries and embayments with low salinities and are intolerant of prolonged exposure to fresh water or marine conditions.  They may either be filter feeders  or suspension feeders .  Found in shallow water of tidal to subtidal depth of fairly constant turbidity and salinity  and salt marshes .  Main sources of food are phytoplankton, suspended detritus particles  and bacteria .  Able to regulate its feeding rates based on differences in size, type and composition of the food source  . Gonochoristic (separate male and females).  After external fertilization, the developing larvae or veliger settles to the bottom after a time in the plankton stage.  First spawning usually occurs when oyster is two years of age .","Gonochoristic (separate male and females).  After external fertilization, the developing larvae or veliger settles to the bottom after a time in the plankton stage.  First spawning usually occurs when oyster is two years of age (Ref. 3248).",Not Evaluated,,,,,,"Diagnostic features:  Shell thick and heavy, usually narrow and elongate, but extremely variable in shape  Upper valve flatter, smaller than lower valve; lower valve convex  Shell shape and outline variable  Shell margins undulating straight  Umbones long and curved  Colour:  dirty to light grey, internally white with muscle scar deep purple (Ref 271).",,7.7,23.5,27.5,794,,,,,,Low to moderate vulnerability (27 of 100),Low,ca
336,Crenella decussata,cross-sculpture crenella,Bivalvia > Mytiloida > Mytilidae,,Benthic,0--274,,Tropical,,"Atlantic Ocean, Mediterranean, Eastern Pacific and Arctic:  UK and Canadian Arctic Archipelago.  Tropical to polar climates.",?--?,,,,,"Byssate . Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,,1.9,7.4,12.1,1537,,,,,,,Medium,ca
337,Crepidula fornicata,slipper limpet,Gastropoda > Neotaenioglossa > Calyptraeidae,,"Benthic, brackish",0--70,,Temperate,"48N--  25N, 97E--  25E","Atlantic, the Mediterranean and Eastern Pacific.",?--?,5,,,,"From sublittoral sediments .  It is a sessile-burrower, suspension feeder . Members of the order Neotaenioglossa are mostly gonochoric and broadcast spawners.  Life cycle:  Embryos develop into planktonic trocophore larvae and later into juvenile veligers before becoming fully grown adults .",Members of the order Neotaenioglossa are mostly gonochoric and broadcast spawners.  Life cycle:  Embryos develop into planktonic trocophore larvae and later into juvenile veligers before becoming fully grown adults.,Not Evaluated,,,,,,,,9.6,23.5,25.4,362,,,,,,,Unknown,ca
338,Creseis acicula,straight needle-pteropod,Gastropoda > Thecosomata > Cavoliniidae,,Pelagic,0--1234,,Tropical,,"Indo-Pacific, Western Atlantic and the Mediterranean Sea.  Tropical and subtropical.",?--?,3.3,,,,"Filter feeder that strains microscopic organisms such as diatoms from the water .  Suspension feeder .  Most abundant in the upper 100 m of the open ocean, but also common to the inner neritic zone .  Dead shells washed up on the beaches . Members of the order Thecosomata are mostly simultaneous hermaphrodites .",Members of the order Thecosomata are mostly simultaneous hermaphrodites.,Not Evaluated,,,,,,,,2.1,10,18.7,1601,,,,,,,Unknown,ca
339,Creseis virgula,curved needle-pteropod,Gastropoda > Thecosomata > Cavoliniidae,,Pelagic,10--1234,,Tropical,,Cosmopolitan.  Tropical to subtropical.,?--?,0.7,,,,Dead shells washed up on the beaches .  Suspension feeder . Members of the order Thecosomata are mostly simultaneous hermaphrodites .,Members of the order Thecosomata are mostly simultaneous hermaphrodites.,Not Evaluated,,,,,,,,4.3,11.1,18.9,1236,,,,,,,Unknown,ca
340,Crystallogobius linearis,Crystal goby,Actinopterygii (ray-finned fishes) >  Perciformes  (Perch-likes) >  Gobiidae  (Gobies) > Gobiinae,"Crystallogobius: Latin, cristallum = ice + Latin, gobius = gudgeon .","Marine, demersal, non-migratory ",1--400,,Temperate,"70N--  35N, 11W--  25E","Eastern Atlantic:  Lofotens, Norway, to Gibraltar.  Also known from the Mediterranean Sea.  Eastern Central Atlantic:  Madeira Island .",?--?,4.7,,,1,"Benthic and free swimming. This occasionally territorial species occurs in coastal waters, over shell, sand, or mud bottoms; males bottom-living during breeding season.  Feed on zooplankton.  Spawning takes place when 1 year old.  Adults die afterwards.  Eggs are laid in the empty tube-worms and are guarded by the male.  Eggs are pear-shaped.","Males guard eggs in empty tubes of larger worms, such as  Chaetopterus . Adults die after breeding.",Least Concern (LC) ; Date assessed:  11 March 2014,2--3,18--20,1,20--21,, Patterns of sensory papillae require detailed description  Pronounced sexual dimorphism  Anterior nostril a short tube  Pectoral fin uppermost rays within membrane  Males:  with prominent front canine teeth; pelvic disc complete and deep; 1st dorsal with only 2 with rays  Females:  pelvic disc reduced or lacking; 1st dorsal absent or rudimentary  Vertebrae 30(29-31).,Harmless,6.8,9.8,14.3,546,1,0.00661,3.08,"High, minimum population doubling time less than 15 months (tm=1; tmax=1; Fec=340).",,Low vulnerability (14 of 100) .,,de
341,Ctena decussata,,Bivalvia > Veneroida > Lucinidae,,Benthic,125--200,,Subtropical,,"Mediterranean Sea:  France, Greece and Turkey.",?--?,,,,,"Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,,13.1,14,15.4,12,,,,,,,Unknown,ca
342,Ctenolabrus rupestris,Goldsinny-wrasse,Actinopterygii (ray-finned fishes) >  Perciformes  (Perch-likes) >  Labridae  (Wrasses),"Ctenolabrus: Greek, kteis, ktenos = comb + Greek, labros = furious .","Marine, reef-associated",1--50,1--20,Temperate,"64N--  30N, 11W--  36E",Eastern Atlantic:  Norway to Morocco.  Also known from the Mediterranean and Black Sea.,?--?,18,11,,8,"On rocky, weed-covered shores (1-50 m); larger specimens deeper than young.  Feed on bryozoans, crustaceans and gastropods.  Spawning takes place in summer when the male defends a territory.  Used in salmon culture as cleaner fish (Helmut Tethmeyer, pers. comm.).",Also Ref. 103751.,Least Concern (LC) ; Date assessed:  12 June 2008,,,,,,Dark spot on caudal peduncle and front end of dorsal fin,Harmless,8.7,10.4,15,380,1,0.00977,3.04,"Medium, minimum population doubling time 1.4 - 4.4 years (K=0.30-0.41; tmax=8; tm=2).",,Low to moderate vulnerability (33 of 100) .,Very high,de
343,Cubiceps gracilis,Driftfish,Actinopterygii (ray-finned fishes) >  Perciformes  (Perch-likes) >  Nomeidae  (Driftfishes),"Cubiceps: Latin, cubus = cube + Latin, ceps = head .","Marine, pelagic-oceanic, oceanodromous ",?--100,,Subtropical,,"Eastern Atlantic:  northeast Atlantic south to about 20N off the African coast, including western Mediterranean.  Northwest Atlantic:  Canada .",?--?,107,18,,,"Oceanic, epipelagic or mesopelagic in warm and temperate waters.  Feeds mainly on salps.",,Least Concern (LC) ; Date assessed:  06 May 2013,,,,,,,Harmless,8.5,11.9,20,640,0.501,0.0038,3.04,"Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).",,Moderate to high vulnerability (50 of 100) .,,de
344,Cunina octonaria,,Hydrozoa > Narcomedusae > Cuninidae,,Pelagic,0--210,,Polar,,Circumglobal.,?--?,0.7,,,,"Neritic, epipelagic . Species listed only in medusoid stage .","Species listed only in medusoid stage (Ref. 1663, p. 28).",Not Evaluated,,,,,,,,3.1,7.9,13.9,2443,,,,,,Low vulnerability (10 of 100),Unknown,ca
345,Cuspidaria rostrata,rostrate dipperclam,Bivalvia > Pholadomyoida > Cuspidariidae,,Benthic,119--2926,,Subtropical,,"Mediterranean Sea:  Greece, Turkey and North America.",?--?,,,,,"Maximum depth from Ref. 104365. Deep-sea . Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam .","Members of the class Bivalvia are mostly gonochoric, some are protandric hermaphrodites.  Life cycle:  Embryos develop into free-swimming trocophore larvae, succeeded by the bivalve veliger, resembling a miniature clam.",Not Evaluated,,,,,,,,4.7,12.6,14,421,,,,,,,Unknown,ca
346,Cuthona perca,Lake Meritt cuthona,Gastropoda > Nudibranchia > Tergipedidae,,Benthic,0--1,,Subtropical,,"Atlantic Ocean, Pacific Ocean and the Mediterranean.",?--?,1.5,,,,Assumed maximum length from Ref. 822. Feeds on hydroids . Members of the order Nudibranchia are simultaneous hermaphrodites.  Mating behavior:  Both individuals darts their penis toward each other to induce one to act as a male and the other as the female.  The victorious one to penetrate the body wall is the dominant male.  Life cycle:  Eggs are deposited on a substratum where they develop and hatch into (planktonic) vestigial veliger larval stage and further grow as adults .,Members of the order Nudibranchia are simultaneous hermaphrodites.  Mating behavior:  Both individuals darts their penis toward each other to induce one to act as a male and the other as the female.  The victorious one to penetrate the body wall is the dominant male.  Life cycle:  Eggs are deposited on a substratum where they develop and hatch into (planktonic) vestigial veliger larval stage and further grow as adults.,Not Evaluated,,,,,,,,7.5,23.6,28.3,1964,,,,,,Low vulnerability (10 of 100),Unknown,ca
347,Cyathura carinata,,Malacostraca > Isopoda > Anthuridae,,"Benthic, brackish",0--5,,Subtropical,,"Western Indian Ocean, Northeast Atlantic and the Mediterranean.",?--?,,,,,"Depth based on occurrence ; to be replaced with better reference. Anthurideans are considered mainly carnivores, feeding on small invertebrates . Members of the order Isopoda are mostly gonochoric.  Mating behavior:  Mating usually occurs before and sometimes during the parturial molt.  Sperm transfer is indirect.  Life cycle:  Eggs are brooded in the marsupium, which later hatch into manca postlarva before developing into adults .","Members of the order Isopoda are mostly gonochoric.  Mating behavior:  Mating usually occurs before and sometimes during the parturial molt.  Sperm transfer is indirect.  Life cycle:  Eggs are brooded in the marsupium, which later hatch into manca postlarva before developing into adults.",Not Evaluated,,,,,,,,8.8,11,16.1,628,,,,,,,Unknown,ca
